OBJECTID,CasosConfirmados0304
1,5
2,7
3,20
4,
5,5
6,
7,4
8,
9,4
10,
11,
12,
13,
14,6
15,
16,4
17,7
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,22
33,
34,
35,52
36,38
37,
38,
39,3
40,5
41,
42,8
43,
44,
45,
46,
47,91
48,
49,8
50,
51,3
52,
53,17
54,
55,82
56,12
57,17
58,7
59,
60,12
61,
62,
63,14
64,
65,
66,
67,130
68,
69,
70,5
71,70
72,
73,53
74,4
75,3
76,
77,13
78,
79,
80,
81,305
82,53
83,
84,
85,
86,4
87,
88,19
89,3
90,3
91,9
92,174
93,
94,
95,3
96,
97,5
98,
99,
100,
101,3
102,
103,11
104,4
105,201
106,28
107,
108,7
109,
110,
111,
112,
113,
114,28
115,11
116,33
117,
118,15
119,9
120,34
121,66
122,
123,
124,7
125,
126,3
127,
128,
129,
130,
131,
132,4
133,
134,424
135,
136,3
137,4
138,105
139,
140,25
141,3
142,
143,8
144,21
145,634
146,26
147,117
148,
149,7
150,60
151,
152,8
153,37
154,390
155,
156,
157,24
158,9
159,
160,368
161,7
162,
163,7
164,
165,
166,
167,6
168,
169,11
170,
171,
172,29
173,5
174,
175,
176,
177,
178,
179,14
180,22
181,
182,3
183,
184,
185,
186,7
187,
188,8
189,
190,
191,
192,86
193,100
194,
195,7
196,75
197,7
198,10
199,
200,10
201,
202,220
203,64
204,11
205,
206,56
207,3
208,
209,7
210,39
211,
212,
213,
214,
215,5
216,9
217,
218,36
219,
220,
221,
222,
223,
224,23
225,606
226,
227,17
228,27
229,
230,
231,7
232,37
233,
234,4
235,
236,
237,3
238,
239,187
240,
241,29
242,6
243,58
244,
245,31
246,
247,4
248,
249,
250,
251,92
252,
253,3
254,
255,10
256,34
257,
258,7
259,3
260,242
261,
262,8
263,
264,
265,
266,
267,3
268,
269,4
270,
271,
272,3
273,16
274,
275,45
276,7
277,25
278,3
279,308
280,
281,
282,
283,38
284,
285,6
286,
287,
288,40
289,
290,34
291,
292,
293,110
294,
295,449
296,
297,3
298,3
299,124
300,11
301,
302,41
303,
304,4
305,5
306,24
307,11
308,
309,
310,
311,
312,
313,
314,
