"dico","cases","recovered","deaths","date"
"0101",32,0,0,2020-04-12 00:00:00
"0102",52,0,0,2020-04-12 00:00:00
"0103",13,0,0,2020-04-12 00:00:00
"0104",26,0,0,2020-04-12 00:00:00
"0105",164,0,0,2020-04-12 00:00:00
"0106",7,0,0,2020-04-12 00:00:00
"0107",42,0,0,2020-04-12 00:00:00
"0108",44,0,0,2020-04-12 00:00:00
"0109",269,0,0,2020-04-12 00:00:00
"0110",88,0,0,2020-04-12 00:00:00
"0111",12,0,0,2020-04-12 00:00:00
"0112",6,0,0,2020-04-12 00:00:00
"0113",117,0,0,2020-04-12 00:00:00
"0114",15,0,0,2020-04-12 00:00:00
"0115",409,0,0,2020-04-12 00:00:00
"0116",44,0,0,2020-04-12 00:00:00
"0117",7,0,0,2020-04-12 00:00:00
"0118",13,0,0,2020-04-12 00:00:00
"0119",55,0,0,2020-04-12 00:00:00
"0205",6,0,0,2020-04-12 00:00:00
"0210",22,0,0,2020-04-12 00:00:00
"0213",17,0,0,2020-04-12 00:00:00
"0301",26,0,0,2020-04-12 00:00:00
"0302",137,0,0,2020-04-12 00:00:00
"0303",621,0,0,2020-04-12 00:00:00
"0304",8,0,0,2020-04-12 00:00:00
"0305",9,0,0,2020-04-12 00:00:00
"0306",27,0,0,2020-04-12 00:00:00
"0307",29,0,0,2020-04-12 00:00:00
"0308",201,0,0,2020-04-12 00:00:00
"0309",28,0,0,2020-04-12 00:00:00
"0310",7,0,0,2020-04-12 00:00:00
"0311",14,0,0,2020-04-12 00:00:00
"0312",211,0,0,2020-04-12 00:00:00
"0313",70,0,0,2020-04-12 00:00:00
"0314",23,0,0,2020-04-12 00:00:00
"0402",84,0,0,2020-04-12 00:00:00
"0403",5,0,0,2020-04-12 00:00:00
"0405",18,0,0,2020-04-12 00:00:00
"0406",4,0,0,2020-04-12 00:00:00
"0407",17,0,0,2020-04-12 00:00:00
"0409",22,0,0,2020-04-12 00:00:00
"0410",5,0,0,2020-04-12 00:00:00
"0411",8,0,0,2020-04-12 00:00:00
"0412",10,0,0,2020-04-12 00:00:00
"0503",5,0,0,2020-04-12 00:00:00
"0601",3,0,0,2020-04-12 00:00:00
"0602",28,0,0,2020-04-12 00:00:00
"0603",269,0,0,2020-04-12 00:00:00
"0604",41,0,0,2020-04-12 00:00:00
"0605",12,0,0,2020-04-12 00:00:00
"0606",5,0,0,2020-04-12 00:00:00
"0607",7,0,0,2020-04-12 00:00:00
"0609",8,0,0,2020-04-12 00:00:00
