OBJECTID,CONFIRMED
1,
2,3
3,10
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,3
33,
34,
35,5
36,8
37,
38,
39,
40,3
41,
42,
43,
44,
45,
46,
47,35
48,
49,3
50,
51,
52,
53,
54,
55,24
56,
57,
58,
59,
60,3
61,
62,
63,
64,
65,
66,
67,6
68,
69,
70,
71,3
72,
73,6
74,
75,
76,
77,
78,
79,
80,
81,25
82,4
83,
84,
85,
86,
87,
88,
89,
90,
91,4
92,43
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,3
104,
105,41
106,3
107,
108,4
109,
110,
111,
112,
113,
114,9
115,
116,
117,
118,5
119,
120,9
121,17
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,62
135,
136,
137,3
138,17
139,
140,
141,3
142,
143,
144,
145,187
146,
147,28
148,
149,
150,27
151,
152,
153,8
154,119
155,
156,
157,4
158,
159,
160,56
161,
162,
163,
164,
165,
166,
167,
168,
169,3
170,
171,
172,5
173,
174,
175,
176,
177,
178,
179,
180,4
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,18
193,17
194,
195,
196,18
197,
198,
199,
200,3
201,
202,58
203,10
204,
205,
206,8
207,
208,
209,
210,7
211,
212,
213,
214,
215,
216,
217,
218,3
219,
220,
221,
222,
223,
224,7
225,137
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,39
240,
241,9
242,
243,8
244,
245,
246,
247,
248,
249,
250,
251,29
252,
253,
254,
255,4
256,9
257,
258,3
259,
260,43
261,
262,3
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,4
278,
279,71
280,
281,
282,
283,7
284,
285,
286,
287,
288,8
289,
290,5
291,
292,
293,14
294,
295,83
296,
297,
298,
299,9
300,
301,
302,
303,
304,
305,
306,11
307,
308,
