"objectid","datarel","confirmed","deaths","recovered"
1,2020-06-03,260,1,
1,2020-06-04,262,1,
1,2020-06-05,263,1,
1,2020-06-06,266,1,
1,2020-06-07,268,1,
1,2020-06-08,268,1,
1,2020-06-09,273,1,
1,2020-06-10,274,1,
1,2020-06-11,277,1,
1,2020-06-12,277,1,
1,2020-06-13,281,2,
1,2020-06-14,282,2,
1,2020-06-15,287,2,
1,2020-06-16,287,2,
1,2020-06-17,288,2,
1,2020-06-18,295,2,
1,2020-06-19,304,2,
1,2020-06-20,363,2,
1,2020-06-21,374,2,
1,2020-06-22,376,2,
1,2020-06-23,397,2,
1,2020-06-24,406,2,
1,2020-06-25,409,3,
1,2020-06-26,449,4,
1,2020-06-27,467,4,
1,2020-06-28,471,5,
1,2020-06-29,477,5,
1,2020-06-30,484,7,
1,2020-07-01,491,7,
1,2020-07-02,499,9,
1,2020-07-03,507,10,
1,2020-07-04,520,10,
1,2020-07-05,527,13,
1,2020-07-06,539,15,
1,2020-07-07,544,15,
1,2020-07-08,551,15,
1,2020-07-09,562,15,
1,2020-07-10,562,15,
1,2020-07-11,570,15,
1,2020-07-12,572,15,
2,2020-06-03,376,15,
2,2020-06-04,376,15,
2,2020-06-05,380,15,
2,2020-06-06,382,15,
2,2020-06-07,389,15,
2,2020-06-08,389,15,
2,2020-06-09,389,15,
2,2020-06-10,391,15,
2,2020-06-11,391,15,
2,2020-06-12,393,15,
2,2020-06-13,393,15,
2,2020-06-14,395,15,
2,2020-06-15,399,15,
2,2020-06-16,407,15,
2,2020-06-17,413,15,
2,2020-06-18,448,15,
2,2020-06-19,480,15,
2,2020-06-20,499,15,
2,2020-06-21,521,15,
2,2020-06-22,529,15,
2,2020-06-23,536,15,
2,2020-06-24,552,15,
2,2020-06-25,574,15,
2,2020-06-26,574,15,
2,2020-06-27,595,15,
2,2020-06-28,612,15,
2,2020-06-29,615,15,
2,2020-06-30,618,15,
2,2020-07-01,632,15,
2,2020-07-02,639,15,
2,2020-07-03,649,15,
2,2020-07-04,653,15,
2,2020-07-05,662,15,
2,2020-07-06,663,15,
2,2020-07-07,663,15,
2,2020-07-08,676,15,
2,2020-07-09,683,15,
2,2020-07-10,688,15,
2,2020-07-11,695,15,
2,2020-07-12,704,15,
3,2020-06-03,3765,240,
3,2020-06-04,3770,240,
3,2020-06-05,3789,244,
3,2020-06-06,3799,244,
3,2020-06-07,3823,244,
3,2020-06-08,3826,244,
3,2020-06-09,3837,244,
3,2020-06-10,3837,245,
3,2020-06-11,3841,246,
3,2020-06-12,3846,246,
3,2020-06-13,3868,246,
3,2020-06-14,3874,246,
3,2020-06-15,3892,246,
3,2020-06-16,3904,246,
3,2020-06-17,3913,246,
3,2020-06-18,3934,246,
3,2020-06-19,3955,247,
3,2020-06-20,3966,247,
3,2020-06-21,3991,248,
3,2020-06-22,4005,248,
3,2020-06-23,4014,248,
3,2020-06-24,4042,248,
3,2020-06-25,4055,248,
3,2020-06-26,4056,248,
3,2020-06-27,4080,248,
3,2020-06-28,4094,248,
3,2020-06-29,4100,248,
3,2020-06-30,4110,248,
3,2020-07-01,4121,248,
3,2020-07-02,4121,249,
3,2020-07-03,4137,248,
3,2020-07-04,4157,248,
3,2020-07-05,4189,248,
